year,country_code,country,burnt_area_ha,nr_fires,severity,avg_fire_size_ha,decade,risk_score,crisis_type,region,summary
1998,HRV,Croatia,32056.0,441,HIGH,72.69,1990,0.06,wildfire,Northern/Eastern Europe,"In 1998, Croatia recorded 441 forest fires burning 32056 hectares. Severity: HIGH. Average fire size: 72.69 ha. Risk score: 0.06. This was a high severity wildfire event in 1990s Europe."
2016,TUR,Turkey,9156.0,3188,MEDIUM,2.87,2010,0.059,wildfire,Southern Europe,"In 2016, Turkey recorded 3188 forest fires burning 9156 hectares. Severity: MEDIUM. Average fire size: 2.87 ha. Risk score: 0.059. This was a medium severity wildfire event in 2010s Europe."
2023,TUR,Turkey,15520.0,2579,MEDIUM,6.02,2020,0.059,wildfire,Southern Europe,"In 2023, Turkey recorded 2579 forest fires burning 15520 hectares. Severity: MEDIUM. Average fire size: 6.02 ha. Risk score: 0.059. This was a medium severity wildfire event in 2020s Europe."
2007,MKD,North Macedonia,32665.0,652,HIGH,50.1,2000,0.059,wildfire,Northern/Eastern Europe,"In 2007, North Macedonia recorded 652 forest fires burning 32665 hectares. Severity: HIGH. Average fire size: 50.1 ha. Risk score: 0.059. This was a high severity wildfire event in 2000s Europe."
2012,HUN,Hungary,14115.0,2657,MEDIUM,5.31,2010,0.058,wildfire,Northern/Eastern Europe,"In 2012, Hungary recorded 2657 forest fires burning 14115 hectares. Severity: MEDIUM. Average fire size: 5.31 ha. Risk score: 0.058. This was a medium severity wildfire event in 2010s Europe."
1993,TUR,Turkey,15393.0,2545,MEDIUM,6.05,1990,0.058,wildfire,Southern Europe,"In 1993, Turkey recorded 2545 forest fires burning 15393 hectares. Severity: MEDIUM. Average fire size: 6.05 ha. Risk score: 0.058. This was a medium severity wildfire event in 1990s Europe."
2007,SWE,Sweden,1090.0,3737,LOW,0.29,2000,0.057,wildfire,Northern/Eastern Europe,"In 2007, Sweden recorded 3737 forest fires burning 1090 hectares. Severity: LOW. Average fire size: 0.29 ha. Risk score: 0.057. This was a low severity wildfire event in 2000s Europe."
2007,TUR,Turkey,11664.0,2829,MEDIUM,4.12,2000,0.057,wildfire,Southern Europe,"In 2007, Turkey recorded 2829 forest fires burning 11664 hectares. Severity: MEDIUM. Average fire size: 4.12 ha. Risk score: 0.057. This was a medium severity wildfire event in 2000s Europe."
1991,POL,Poland,2567.0,3528,LOW,0.73,1990,0.056,wildfire,Northern/Eastern Europe,"In 1991, Poland recorded 3528 forest fires burning 2567 hectares. Severity: LOW. Average fire size: 0.73 ha. Risk score: 0.056. This was a low severity wildfire event in 1990s Europe."
2017,POL,Poland,1023.0,3592,LOW,0.28,2010,0.055,wildfire,Northern/Eastern Europe,"In 2017, Poland recorded 3592 forest fires burning 1023 hectares. Severity: LOW. Average fire size: 0.28 ha. Risk score: 0.055. This was a low severity wildfire event in 2010s Europe."
2011,DZA,Algeria,13593.0,2487,MEDIUM,5.47,2010,0.055,wildfire,Southern Europe,"In 2011, Algeria recorded 2487 forest fires burning 13593 hectares. Severity: MEDIUM. Average fire size: 5.47 ha. Risk score: 0.055. This was a medium severity wildfire event in 2010s Europe."
2019,TUR,Turkey,11332.0,2688,MEDIUM,4.22,2010,0.055,wildfire,Southern Europe,"In 2019, Turkey recorded 2688 forest fires burning 11332 hectares. Severity: MEDIUM. Average fire size: 4.22 ha. Risk score: 0.055. This was a medium severity wildfire event in 2010s Europe."
2013,DZA,Algeria,13396.0,2443,MEDIUM,5.48,2010,0.054,wildfire,Southern Europe,"In 2013, Algeria recorded 2443 forest fires burning 13396 hectares. Severity: MEDIUM. Average fire size: 5.48 ha. Risk score: 0.054. This was a medium severity wildfire event in 2010s Europe."
2008,UKR,Ukraine,4521.0,3231,LOW,1.4,2000,0.054,wildfire,Northern/Eastern Europe,"In 2008, Ukraine recorded 3231 forest fires burning 4521 hectares. Severity: LOW. Average fire size: 1.4 ha. Risk score: 0.054. This was a low severity wildfire event in 2000s Europe."
2024,GRC,Greece,28288.46,981,HIGH,28.84,2020,0.054,wildfire,Southern Europe,"In 2024, Greece recorded 981 forest fires burning 28288 hectares. Severity: HIGH. Average fire size: 28.84 ha. Risk score: 0.054. This was a high severity wildfire event in 2020s Europe."
2024,BGR,Bulgaria,17116.0,106,MEDIUM,161.47,2020,0.054,wildfire,Northern/Eastern Europe,"In 2024, Bulgaria recorded 106 forest fires burning 17116 hectares. Severity: MEDIUM. Average fire size: 161.47 ha. Risk score: 0.054. This was a medium severity wildfire event in 2020s Europe."
2011,SWE,Sweden,945.0,3534,LOW,0.27,2010,0.054,wildfire,Northern/Eastern Europe,"In 2011, Sweden recorded 3534 forest fires burning 945 hectares. Severity: LOW. Average fire size: 0.27 ha. Risk score: 0.054. This was a low severity wildfire event in 2010s Europe."
2022,HRV,Croatia,24226.0,245,HIGH,98.88,2020,0.053,wildfire,Northern/Eastern Europe,"In 2022, Croatia recorded 245 forest fires burning 24226 hectares. Severity: HIGH. Average fire size: 98.88 ha. Risk score: 0.053. This was a high severity wildfire event in 2020s Europe."
2017,TUR,Turkey,11992.0,2411,MEDIUM,4.97,2010,0.052,wildfire,Southern Europe,"In 2017, Turkey recorded 2411 forest fires burning 11992 hectares. Severity: MEDIUM. Average fire size: 4.97 ha. Risk score: 0.052. This was a medium severity wildfire event in 2010s Europe."
